GRACT,SMACT,SMOCC,DRAMA,FP64A,FP32A,FP16A,INTAC,TENSO,TDFMA,Cluster_Label
0.09,0.084,0.0,0.054,0.0,0.0,0.0,0.065,0.0,0.0,4
0.08,0.074,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.08,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.093,0.086,0.0,0.055,0.0,0.0,0.0,0.067,0.0,0.0,4
0.075,0.069,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,4
0.078,0.072,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.076,0.071,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,4
0.311,0.247,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.075,0.069,0.0,0.052,0.0,0.0,0.0,0.054,0.0,0.0,4
0.081,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.091,0.084,0.0,0.054,0.0,0.0,0.0,0.066,0.0,0.0,4
0.084,0.078,0.0,0.05,0.0,0.0,0.0,0.06,0.0,0.0,4
0.089,0.083,0.0,0.053,0.0,0.0,0.0,0.064,0.0,0.0,4
0.086,0.08,0.0,0.051,0.0,0.0,0.0,0.062,0.0,0.0,4
0.076,0.07,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,4
0.073,0.067,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,4
0.389,0.185,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,4
0.086,0.079,0.0,0.051,0.0,0.0,0.0,0.062,0.0,0.0,4
0.086,0.08,0.0,0.051,0.0,0.0,0.0,0.062,0.0,0.0,4
0.115,0.106,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,4
0.123,0.114,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,4
0.088,0.081,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,4
0.123,0.114,0.0,0.052,0.0,0.0,0.0,0.088,0.0,0.0,4
0.356,0.158,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,4
0.074,0.068,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,4
0.092,0.085,0.0,0.055,0.0,0.0,0.0,0.066,0.0,0.0,4
0.082,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.386,0.181,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,4
0.086,0.079,0.0,0.051,0.0,0.0,0.0,0.062,0.0,0.0,4
0.092,0.084,0.0,0.054,0.0,0.0,0.0,0.066,0.0,0.0,4
0.07,0.064,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
0.081,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.09,0.083,0.0,0.053,0.0,0.0,0.0,0.065,0.0,0.0,4
0.085,0.078,0.0,0.05,0.0,0.0,0.0,0.061,0.0,0.0,4
0.285,0.14,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,4
0.073,0.068,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,4
0.078,0.072,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.091,0.084,0.0,0.054,0.0,0.0,0.0,0.066,0.0,0.0,4
0.259,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.07,0.064,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
0.078,0.072,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.09,0.083,0.0,0.053,0.0,0.0,0.0,0.065,0.0,0.0,4
0.085,0.078,0.0,0.05,0.0,0.0,0.0,0.061,0.0,0.0,4
0.123,0.114,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,4
0.069,0.064,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
0.082,0.076,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,4
0.087,0.081,0.0,0.051,0.0,0.0,0.0,0.063,0.0,0.0,4
0.077,0.072,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.07,0.065,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
0.191,0.1,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,4
0.071,0.065,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,4
0.092,0.085,0.0,0.055,0.0,0.0,0.0,0.066,0.0,0.0,4
0.081,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.169,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.081,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.073,0.068,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,4
0.064,0.06,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,4
0.084,0.078,0.0,0.05,0.0,0.0,0.0,0.06,0.0,0.0,4
0.086,0.079,0.0,0.051,0.0,0.0,0.0,0.062,0.0,0.0,4
0.087,0.08,0.0,0.051,0.0,0.0,0.0,0.062,0.0,0.0,4
0.079,0.073,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,4
0.075,0.069,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,4
0.077,0.072,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.117,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.069,0.064,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
0.093,0.085,0.0,0.055,0.0,0.0,0.0,0.066,0.0,0.0,4
0.072,0.066,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,4
0.079,0.073,0.0,0.093,0.0,0.0,0.0,0.057,0.0,0.0,4
0.078,0.072,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.084,0.078,0.0,0.05,0.0,0.0,0.0,0.06,0.0,0.0,4
0.076,0.07,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,4
0.086,0.079,0.0,0.051,0.0,0.0,0.0,0.062,0.0,0.0,4
0.09,0.083,0.0,0.053,0.0,0.0,0.0,0.064,0.0,0.0,4
0.077,0.071,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,4
0.127,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.072,0.067,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,4
0.078,0.072,0.0,0.092,0.0,0.0,0.0,0.056,0.0,0.0,4
0.092,0.085,0.0,0.055,0.0,0.0,0.0,0.066,0.0,0.0,4
0.07,0.065,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,4
0.082,0.076,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,4
0.09,0.083,0.0,0.053,0.0,0.0,0.0,0.064,0.0,0.0,4
0.071,0.065,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,4
0.177,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.081,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.088,0.081,0.0,0.052,0.0,0.0,0.0,0.063,0.0,0.0,4
0.079,0.073,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,4
0.197,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.074,0.068,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,4
0.071,0.065,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,4
0.082,0.076,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,4
0.123,0.114,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,4
0.076,0.07,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,4
0.091,0.084,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,4
0.123,0.114,0.0,0.054,0.0,0.0,0.0,0.088,0.0,0.0,4
0.123,0.114,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,4
0.074,0.069,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,4
0.078,0.072,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.081,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.079,0.073,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,4
0.093,0.086,0.0,0.055,0.0,0.0,0.0,0.067,0.0,0.0,4
0.069,0.064,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
0.079,0.074,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,4
0.077,0.071,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,4
0.106,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.081,0.075,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,4
0.088,0.081,0.0,0.052,0.0,0.0,0.0,0.063,0.0,0.0,4
0.071,0.066,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,4
0.262,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.079,0.073,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,4
0.089,0.082,0.0,0.053,0.0,0.0,0.0,0.064,0.0,0.0,4
0.08,0.074,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,4
0.088,0.081,0.0,0.052,0.0,0.0,0.0,0.063,0.0,0.0,4
0.085,0.078,0.0,0.05,0.0,0.0,0.0,0.061,0.0,0.0,4
0.288,0.141,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,4
0.115,0.107,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,4
0.123,0.114,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,4
