gpu_name = a100
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      975          0.000        0.000        0.000        0.000        0.000        0.000        112570356                   57535959                    81152             
GPU 0      975          0.000        0.000        0.000        0.000        0.000        0.000        112570356                   57535959                    81152             
GPU 0      975          0.000        0.000        0.000        0.000        0.000        0.000        112570356                   57535959                    81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        1010626                     731948                      81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        1457767                     761441                      81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        1457767                     761441                      81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        887428                      355696                      81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        473495                      194968                      81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        1349789                     707336                      81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        1349789                     707336                      81152             
GPU 0      1080         0.000        0.000        0.000        0.000        0.000        0.000        23006306                    16998787                    81132             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        23006306                    16998787                    81131             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        23006306                    16998787                    81116             
GPU 0      1410         0.002        0.000        0.000        0.000        0.000        0.000        48443315                    22651592                    80682             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        993276                      476383                      80682             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        993276                      476383                      80588             
GPU 0      1410         0.143        0.303        0.047        0.000        0.001        0.000        116845306                   648000371                   80696             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        466519                      188000                      80696             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        1054328                     486281                      80696             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        764846                      383085                      80696             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        740899                      357155                      80696             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        740899                      357155                      80696             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        740899                      357155                      80696             
GPU 0      1410         0.000        0.000        0.000        0.000        0.001        0.000        12319500                    8728391                     81152             
GPU 0      1410         0.000        0.000        0.000        0.000        0.001        0.000        12319500                    8728391                     81152             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        4773786                     2749075                     81152             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        471423                      223579                      81152             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        959160                      433057                      81152             
