gpu_name = gh200
#Entity   GRACT        SMACT        SMOCC        DRAMA        FP64A        FP32A        FP16A        INTAC        TENSO        TDFMA        
ID                                                                                                                                          
GPU 0     N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          
GPU 0     N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          
GPU 0     N/A          0.000        N/A          N/A          0.000        0.000        N/A          0.000        0.000        N/A          
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
#Entity   GRACT        SMACT        SMOCC        DRAMA        FP64A        FP32A        FP16A        INTAC        TENSO        TDFMA        
ID                                                                                                                                          
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          N/A          
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
#Entity   GRACT        SMACT        SMOCC        DRAMA        FP64A        FP32A        FP16A        INTAC        TENSO        TDFMA        
ID                                                                                                                                          
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
